14/10/2024,McDonalds 8260292 Surbiton VIS,-6.63
14/10/2024,McDonalds 8260292 Surbiton VIS,-5.12
14/10/2024,VRISTHI NEWS THAMES DITTON ))),-16.25
14/10/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-10.00
14/10/2024,Cafe del Marsh London ))),-10.80
14/10/2024,Lebara Mobile Limi London VIS,-3.18
14/10/2024,SCREWFIX DIRECT WWW.SCREWFIX. VIS,-23.99
14/10/2024,B&Q LTD EASTLEIGH VIS,-140.25
11/10/2024,The Antelope Surbiton ))),-6.50
11/10/2024,VRISTHI NEWS THAMES DITTON ))),-13.75
11/10/2024,SAINSBURYS S/MKTS SURBITON ))),-1.50
10/10/2024,BUDGENS THAMES DITTO ))),-3.64
10/10/2024,JOHN LEWIS WOOD STREET ))),-1.70
09/10/2024,LIDL GB HERSHAM HERSHAM ))),-62.25
09/10/2024,Richard Dowling Saver 85aa4246 1v0 OBP,"-2,000.00"
09/10/2024,Richard Dowling savings BP,"-5,000.00"
08/10/2024,WAITROSE 232 SURBITON ))),-21.28
08/10/2024,B & Q 1076 NEW MALDEN ))),-15.68
08/10/2024,INTUIT *QBooks Onl 08081684238 VIS,-1.20
07/10/2024,VRISTHI NEWS THAMES DITTON ))),-9.49
07/10/2024,BUDGENS THAMES DITTO ))),-0.44
07/10/2024,PRET A MANGER LONDON WC2R ))),-7.15
07/10/2024,The Limping Fox Thames Ditton ))),-18.00
07/10/2024,II INVESTMENT ACCO WWW.II.CO.UK VIS,"-1,100.00"
07/10/2024,McDonalds 8260292 Surbiton VIS,-5.81
07/10/2024,SHELL LONG DITTON THAMES DITTON ))),-52.71
07/10/2024,WAITROSE PARSONS GREEN ))),-7.20
07/10/2024,J DOWLING CR,551.00
04/10/2024,The Limping Fox Thames Ditton VIS,-52.50
04/10/2024,ELEANOR GREGORY RICHARD SO,-282.00
03/10/2024,INT'L 0093556548 APPLE.COM/BILL 08001076285 VIS,-8.99
03/10/2024,INT'L 0093556547 APPLE.COM/BILL APPLE.COM/BIL VIS,-0.99
03/10/2024,Microsoft*Store msbill.info VIS,-1.99
03/10/2024,THE ULSTER CONSORT Ulster Cons Dowlin CR,485.00
02/10/2024,Audible UK adbl.co/pymt VIS,-2.99
01/10/2024,JOHN LEWIS WOOD STREET ))),-1.70
01/10/2024,WAITROSE 232 SURBITON ))),-25.78
01/10/2024,J DOWLING IHT XMAS BIRTHD CR,400.00
01/10/2024,RICHARD JOHN DOWLI 8PCNTSAVER SO,-200.00
30/09/2024,TST-SURBEANTON RES Surbiton ))),-10.65
30/09/2024,BHD WDF MAIN BELFAST CITY ))),-35.58
30/09/2024,OCTOPUS ENERGY DD,-70.00
28/09/2024,Gregory Eleanor SERVICES RENDERED CR,38.00
27/09/2024,CROWN LIQUOR SALOO BELFAST ))),-11.50
27/09/2024,THE ULSTER CONSORT Ulster Consort CR,87.50
27/09/2024,Wild Arts WILD ARTS CR,"3,458.00"
25/09/2024,McDonalds 8260292 Surbiton VIS,-6.63
25/09/2024,SAINSBURYS S/MKTS SURBITON ))),-24.45
25/09/2024,PREMIER WINE HAMPTON ))),-19.20
24/09/2024,Richard Dowling Monzo-RLXLJ OBP,-150.00
24/09/2024,VODAFONE LTD DD,-47.44
19/09/2024,McDonalds 8260292 Surbiton VIS,-9.26
18/09/2024,BOOTS 0885 ST PANCRAS ))),-1.65
17/09/2024,SAINSBURYS S/MKTS SURBITON ))),-12.05
16/09/2024,McDonalds 8260292 Surbiton VIS,-6.53
16/09/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-11.70
16/09/2024,STARLING BANK LIMI LONDON VIS,-3.00
16/09/2024,McDonalds 8260292 Surbiton VIS,-6.53
16/09/2024,TESCO STORES 5380 LONDON ))),-3.10
16/09/2024,BOOTS 0847 SURBITON ))),-22.71
16/09/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-7.40
16/09/2024,The Antelope Surbiton ))),-5.80
16/09/2024,INTERACTIVE INVEST DD,-540.00
13/09/2024,WAITROSE 232 SURBITON ))),-5.00
13/09/2024,PREMIER WINE HAMPTON ))),-20.60
12/09/2024,Mr A Treharne Morg Arwel BP,-90.00
12/09/2024,VRISTHI NEWS THAMES DITTON ))),-13.66
12/09/2024,SAINSBURYS S/MKTS SURBITON ))),-17.45
12/09/2024,INTERACTIVE INVEST FIRST PAYMENT DD,-11.99
11/09/2024,BUDGENS THAMES DITTO ))),-7.25
11/09/2024,JOHN LEWIS WOOD STREET ))),-1.70
11/09/2024,Lebara Mobile Limi London VIS,-3.18
10/09/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-12.35
10/09/2024,SumUp  *ThePressRo Twickenham ))),-2.75
10/09/2024,Victoria Surbiton ))),-5.35
09/09/2024,McDonalds 8260059 Birmingham VIS,-4.72
09/09/2024,JOSE PIZARRO THE S LONDON ))),-6.25
09/09/2024,TESCO-STORES 6567 BRIXTON ))),-3.30
09/09/2024,The Little Cat Caf London ))),-5.00
09/09/2024,SAINSBURYS S/MKTS SURY BASIN ))),-11.95
09/09/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-6.40
09/09/2024,VRISTHI NEWS THAMES DITTON ))),-14.53
09/09/2024,TFL TRAVEL CH TFL.GOV.UK/CP ))),-6.40
09/09/2024,GROS. CAS BIRMINGHAM ))),-13.80
09/09/2024,HMSHost Euston Sta London ))),-3.20
09/09/2024,INTUIT *QBooks Onl 08081684238 VIS,-1.20
09/09/2024,SAINSBURYS S/MKT KINGSTON UPON VIS,-124.11
09/09/2024,J DOWLING CR,551.00
06/09/2024,BIRMINGHAM REP ENT BIRMINGHAM ))),-4.32
06/09/2024,HMSHost Euston Sta London ))),-2.49
06/09/2024,TAJ MAHAL INDIAN C B'HAM B5 VIS,-40.00
06/09/2024,Rosa's Birmingham Birmingham VIS,-19.50
05/09/2024,SAINSBURYS S/MKTS SURY BASIN ))),-10.05
05/09/2024,SAINSBURYS S/MKTS SURY BASIN ))),-4.00
04/09/2024,KFC SURBITON VIS,-15.99
04/09/2024,GARDENSANCTUARY MANCHESTER VIS,-196.94
